Bulan,Grid,Latitude,Longitude,Klorofil,SST,Hasil Tangkapan
2021-08,B4,-6.68749,109.97916,0.331,30.11,4982.14302038874
2021-08,C1,-6.81249,110.02083,0.6,30.015,4995.99569077909
2021-08,C2,-6.77083,110.02083,0.453,30.105,4994.68160346934
2021-08,C3,-6.72916,110.02083,0.388,30.09,4985.0997168357
2021-08,C4,-6.68749,110.02083,0.359,30.05,4975.35356928834
2021-09,A1,-6.81249,109.93749,0.408,30.565,4245.89110893907
2021-09,A2,-6.77083,109.93749,0.278,30.445,4217.43554703246
2021-09,A3,-6.72916,109.93749,0.227,30.445,4212.75414813815
2021-09,A4,-6.68749,109.93749,0.193,30.455,4211.01009756968
2021-09,B1,-6.81249,109.97916,0.408,30.41,4224.54943750912
2021-09,B2,-6.77083,109.97916,0.292,30.425,4215.96687286954
2021-09,B3,-6.72916,109.97916,0.259,30.45,4216.37993747786
2021-09,B4,-6.68749,109.97916,0.205,30.47,4214.17692623348
2021-09,C1,-6.81249,110.02083,0.433,30.45,4232.35176899964
2021-09,C2,-6.77083,110.02083,0.34,30.465,4225.88042346926
2021-09,C3,-6.72916,110.02083,0.288,30.495,4225.23787852299
2021-09,C4,-6.68749,110.02083,0.226,30.53,4224.36585323875
2021-10,A1,-6.81249,109.93749,0.204,30.64,4345.93278479171
2021-10,A2,-6.77083,109.93749,0.149,30.93,4381.70642785169
2021-10,A3,-6.72916,109.93749,0.144,30.995,4390.41448570182
2021-10,A4,-6.68749,109.93749,0.155,30.75,4356.8531600416
2021-10,B1,-6.81249,109.97916,0.219,30.645,4348.05096102552
2021-10,B2,-6.77083,109.97916,0.159,30.875,4374.88119332051
2021-10,B3,-6.72916,109.97916,0.153,30.985,4389.84963870613
2021-10,B4,-6.68749,109.97916,0.153,30.9,4377.84664004785
2021-10,C1,-6.81249,110.02083,0.268,30.625,4349.83964317852
2021-10,C2,-6.77083,110.02083,0.201,30.815,4370.36241735504
2021-10,C3,-6.72916,110.02083,0.169,30.8,4365.23172381091
2021-10,C4,-6.68749,110.02083,0.165,30.78,4362.0309241687
2021-11,A1,-6.81249,109.93749,0.674,31.19,3863.63902621359
2021-11,A2,-6.77083,109.93749,0.301,31.36,3854.03264164811
2021-11,A3,-6.72916,109.93749,0.161,31.26,3830.42373042786
2021-11,A4,-6.68749,109.93749,0.135,30.87,3780.68219678795
2021-11,B1,-6.81249,109.97916,0.685,31.295,3877.35661773295
2021-11,B2,-6.77083,109.97916,0.325,28.595,3518.33834710774
2021-11,B3,-6.72916,109.97916,0.194,31.125,3816.62472886982
2021-11,B4,-6.68749,109.97916,0.136,31.225,3824.11445242935
2021-11,C1,-6.81249,110.02083,0.325,31.055,3818.74138987577
2021-11,C2,-6.77083,110.02083,0.325,28.25,3476.20865208539
2021-11,C3,-6.72916,110.02083,0.193,31.115,3815.32216825077
2021-11,C4,-6.68749,110.02083,0.143,31.24,3826.51604857072
2021-12,A1,-6.81249,109.93749,0.74,30.27,3189.00613001072
2021-12,A2,-6.77083,109.93749,0.553,30.39,3188.52237136059
2021-12,A3,-6.72916,109.93749,0.319,30.365,3169.75944657355
2021-12,A4,-6.68749,109.93749,0.22,30.11,3136.48376228273
2021-12,B1,-6.81249,109.97916,0.724,30.145,3174.94257496776
2021-12,B2,-6.77083,109.97916,0.711,30.34,3194.25836678352
2021-12,B3,-6.72916,109.97916,0.339,30.34,3168.55004994824
2021-12,B4,-6.68749,109.97916,0.235,30.165,3143.2218291952
2021-12,C1,-6.81249,110.02083,0.843,29.99,3167.09877399786
2021-12,C2,-6.77083,110.02083,0.676,30.385,3196.50438908767
2021-12,C3,-6.72916,110.02083,0.478,30.32,3176.08286321449
2021-12,C4,-6.68749,110.02083,0.262,30.16,3144.56944257769
2022-01,A1,-6.81249,109.93749,1.179,30.595,6278.24637753554
